station_id,model,lead_hours,n_samples,bias_c,mae_c,rmse_c,error_std_c
EGLC,gfs_seamless,18,89,-0.38539325842696637,1.0595505617977528,1.450803729204663,1.406603788772943
EGLC,gfs_seamless,24,90,-0.27888888888888885,1.038888888888889,1.4344569239495017,1.4149676968119178
EGLC,gfs_seamless,30,89,-0.3078651685393258,1.1280898876404495,1.5081799433665182,1.4847883778735735
EGLC,gfs_seamless,36,89,-0.4011235955056178,1.2775280898876404,1.7062673631663772,1.6678438981635755
EGLC,gfs_seamless,42,89,-0.3775280898876403,1.2584269662921348,1.74954247630759,1.7180031226152146
EGLC,gfs_seamless,48,89,-0.344943820224719,1.2752808988764044,1.7512435389129262,1.7266633111263427
EGLC,gfs_seamless,54,88,-0.4693181818181818,1.1761363636363635,1.6618377012977368,1.6033268540896246
EGLC,gfs_seamless,60,88,-0.4693181818181817,1.2647727272727272,1.6643658360960298,1.6059771941629086
EGLC,gfs_seamless,66,88,-0.43522727272727285,1.2965909090909091,1.748343371724944,1.7030088162464592
EGLC,gfs_seamless,72,88,-0.6920454545454545,1.3897727272727274,1.8338670022164045,1.7080082903045923
EGLC,gfs_seamless,78,87,-0.5344827586206896,1.396551724137931,1.9473235389932615,1.883393003622618
EGLC,gfs_seamless,84,87,-0.5206896551724137,1.4885057471264367,2.057646239268794,2.0022160938038356
EGLC,gfs_seamless,90,87,-0.45057471264367804,1.4804597701149427,2.035489717685795,1.9965012165599116
EGLC,gfs_seamless,96,87,-0.38850574712643676,1.6045977011494255,2.25194679506779,2.2310402875119646
EGLC,gfs_seamless,102,86,-0.522093023255814,1.608139534883721,2.296939318431843,2.249936007601926
EGLC,gfs_seamless,108,86,-0.5651162790697676,1.8232558139534885,2.6275817868358784,2.5811428130993113
EGLC,gfs_seamless,114,86,-0.4011627906976744,1.5825581395348836,2.2888760316740817,2.266663481395793
EGLC,gfs_seamless,120,86,-0.327906976744186,1.8604651162790697,2.5712181530740783,2.565180932171117
EGLC,gfs_seamless,126,85,-0.20941176470588235,1.6729411764705882,2.3499687106803084,2.3545105410584135
EGLC,gfs_seamless,132,85,-0.6141176470588235,2.0164705882352942,2.7372377661130014,2.6832883584448814
EGLC,gfs_seamless,138,85,-0.6435294117647058,2.2529411764705882,2.897443091863624,2.84184074563115
EGLC,gfs_seamless,144,85,-0.5729411764705883,2.4058823529411764,3.1158607535148484,3.080908502192097
EGLC,gfs_seamless,150,84,-0.6249999999999998,2.4416666666666664,3.349964463208812,3.310912042657864
EGLC,gfs_seamless,156,84,-0.842857142857143,2.2880952380952384,3.282638311741683,3.1916414070055272
EGLC,gfs_seamless,162,84,-1.0916666666666666,2.594047619047619,3.5461414308539707,3.3941909387236975
EGLC,gfs_seamless,168,84,-0.8357142857142857,2.3357142857142854,3.099654358611157,3.0027955993306845
EGLC,gfs_seamless,174,83,-1.089156626506024,2.4819277108433737,3.2685798839605136,3.10051184005011
EGLC,gfs_seamless,180,83,-1.2120481927710842,2.669879518072289,3.534681867384172,3.340563615011966
EGLC,gfs_seamless,186,83,-1.5927710843373493,3.0554216867469877,3.7388226998244907,3.403147149350039
EGLC,gfs_seamless,192,83,-1.4903614457831325,2.7409638554216866,3.4414727864330175,3.120882241502347
EGLC,gfs_seamless,198,82,-1.7475609756097563,3.159756097560975,3.943395219054075,3.5567784567025305
EGLC,gfs_seamless,204,82,-1.7000000000000002,3.0195121951219512,3.9808382497574186,3.6217450265082216
EGLC,gfs_seamless,210,82,-1.8146341463414632,3.1268292682926826,4.190436265779612,3.800393805170089
EGLC,gfs_seamless,216,82,-1.3109756097560978,2.879268292682927,4.009181535596244,3.8120991948010365
EGLC,gfs_seamless,222,81,-1.7753086419753088,3.4691358024691357,4.5054151231710895,4.166699259131787
EGLC,gfs_seamless,228,81,-1.6851851851851851,3.2037037037037037,4.318850441471952,4.001284515974561
EGLC,gfs_seamless,234,81,-1.5765432098765433,3.2382716049382716,4.328330445384738,4.056114877716676
EGLC,gfs_seamless,240,81,-1.6506172839506172,3.3419753086419752,4.591901082945445,4.311673789167906
EGLC,gfs_seamless,246,80,-1.6175000000000002,3.3800000000000003,4.340218888489381,4.052965003112622
EGLC,gfs_seamless,252,80,-1.7862499999999997,3.4862499999999996,4.482284573741386,4.1369206351792815
EGLC,gfs_seamless,258,80,-1.93625,3.5862499999999997,4.71671230837752,4.328101982642265
EGLC,gfs_seamless,264,80,-1.7712499999999998,3.4587499999999998,4.688749833377763,4.3687090393943695
EGLC,gfs_seamless,270,79,-1.6189873417721519,3.7227848101265817,4.761195999092261,4.506094902359301
EGLC,gfs_seamless,276,79,-1.7582278481012659,3.927848101265823,5.0534735515988265,4.76801866055699
EGLC,gfs_seamless,282,79,-2.489873417721519,3.788607594936709,5.091280707298147,4.469285348043134
EGLC,gfs_seamless,288,79,-2.320253164556962,3.9126582278481017,4.8814943758824665,4.3222554578342915
EGLC,gfs_seamless,294,78,-2.514102564102564,4.1782051282051285,5.207501984932596,4.589930377735688
EGLC,gfs_seamless,300,78,-1.5717948717948718,4.417948717948718,5.120571883125596,4.904911332343856
EGLC,gfs_seamless,306,78,-2.187179487179487,3.9051282051282046,5.154833430122422,4.698033824007849
